Device, APC MINI [0], APC MINI [1], APC MINI,
Device type, Software devices, Software devices, "Sound, video and game controllers",
Manufacturer, Microsoft, Microsoft, (Generic USB Audio),
Location, on APC MINI, on APC MINI, 0000.0014.0000.002.000.000.000.000.000,
Driver provider, Microsoft, Microsoft, Microsoft,
Device description, Generic software device, Generic software device, USB Audio Device,
Device instance path, SWD\MMDEVAPI\MIDII_BFF11DE1.P_000, SWD\MMDEVAPI\MIDII_BFF11DE1.P_0001, USB\VID_09E8&PID_0028&MI_00\6&17B6DB37&1&0000,
Compatible Ids, "SWD\GenericRaw, SWD\Generic", "SWD\GenericRaw, SWD\Generic", "USB\VID_09E8&PID_0028&REV_0100&MI_00, USB\VID_09E8&PID_0028&MI_00, USB\Class_01&SubClass_01&Prot_00, USB\Class_01&SubClass_01, USB\Class_01",
Capabilities, "000000D0, CM_DEVCAP_UNIQUEID, CM_DEVCAP_RAWDEVICEOK, CM_DEVCAP_SURPRISEREMOVALOK", "000000D0, CM_DEVCAP_UNIQUEID, CM_DEVCAP_RAWDEVICEOK, CM_DEVCAP_SURPRISEREMOVALOK", "000000A0, CM_DEVCAP_SILENTINSTALL, CM_DEVCAP_SURPRISEREMOVALOK",
Status, "0180200A, DN_DRIVER_LOADED, DN_STARTED, DN_DISABLEABLE, DN_NT_ENUMERATOR, DN_NT_DRIVER", "0180200A, DN_DRIVER_LOADED, DN_STARTED, DN_DISABLEABLE, DN_NT_ENUMERATOR, DN_NT_DRIVER", "0180200A, DN_DRIVER_LOADED, DN_STARTED, DN_DISABLEABLE, DN_NT_ENUMERATOR, DN_NT_DRIVER",
Problem code, 00000000, 00000000, 00000000,
Config flags, 00000000, 00000000, 00000000,
Class, SoftwareDevice, SoftwareDevice, MEDIA,
Class Guid, {62f9c741-b25a-46ce-b54c-9bccce08b6f2}, {62f9c741-b25a-46ce-b54c-9bccce08b6f2}, {4d36e96c-e325-11ce-bfc1-08002be10318},
Inf name, c_swdevice.inf, c_swdevice.inf, wdma_usb.inf,
Driver date, 6/21/2006, 6/21/2006, 3/18/2019,
Driver version, 10.0.18362.1, 10.0.18362.1, 10.0.18362.1,
Provider, Microsoft, Microsoft, Microsoft,
Inf section, SoftwareDevice, SoftwareDevice, USBAudio,
Included Infs, , , "ks.inf, wdmaudio.inf",
Matching device Id, SWD\GenericRaw, SWD\GenericRaw, USB\Class_01,
Rank of driver, 00FF3000, 00FF3000, 00FF2002,
Service, , , usbaudio,
Address, , , 00000002,
Base container Id, {242cc506-d0c8-5e23-a6b6-97abc5a4ff42}, {242cc506-d0c8-5e23-a6b6-97abc5a4ff42}, {242cc506-d0c8-5e23-a6b6-97abc5a4ff42},
Bus number, 00000000, 00000000, 00000000,
Bus relations, , , "SWD\MMDEVAPI\MIDII_BFF11DE1.P_0000, SWD\MMDEVAPI\MIDII_BFF11DE1.P_0001",
Bus reported device description, APC MINI [0], APC MINI [1], APC MINI,
Bus type Guid, {06d10322-7de0-4cef-8e25-197d0e7442e2}, {06d10322-7de0-4cef-8e25-197d0e7442e2}, {9d7debbc-c85d-11d1-9eb4-006008c3a19a},
Children, , , "SWD\MMDEVAPI\MIDII_BFF11DE1.P_0000, SWD\MMDEVAPI\MIDII_BFF11DE1.P_0001",
Configuration Id, "c_swdevice.inf:SWD\GenericRaw,SoftwareDevice", "c_swdevice.inf:SWD\GenericRaw,SoftwareDevice", "wdma_usb.inf:USB\Class_01,USBAudio",
Container Id, {242cc506-d0c8-5e23-a6b6-97abc5a4ff42}, {242cc506-d0c8-5e23-a6b6-97abc5a4ff42}, {242cc506-d0c8-5e23-a6b6-97abc5a4ff42},
Device Node not indicative of device presence, <true>, <true>,
Device stack, \Driver\SoftwareDevice, \Driver\SoftwareDevice, "\Driver\ksthunk, \Driver\usbaudio, \Driver\usbccgp",
Display name, APC MINI [0], APC MINI [1], APC MINI,
Driver description, Generic software device, Generic software device, USB Audio Device,
Driver key, {62f9c741-b25a-46ce-b54c-9bccce08b6f2}\0010, {62f9c741-b25a-46ce-b54c-9bccce08b6f2}\0013, {4d36e96c-e325-11ce-bfc1-08002be10318}\0011,
Driver node strong name, c_swdevice.inf:db04a16c5fe3d0a2:SoftwareDevice:10.0.18362.1:SWD\GenericRaw, c_swdevice.inf:db04a16c5fe3d0a2:SoftwareDevice:10.0.18362.1:SWD\GenericRaw, wdma_usb.inf:ed86ca114a9cb1b5:USBAudio:10.0.18362.1:USB\Class_01
Enumerator, SWD, SWD, USB,
First install date, 4/13/2020 12:35:36 PM, 4/13/2020 12:35:36 PM, 4/13/2020 12:35:35 PM,
Friendly name, APC MINI [0], APC MINI [1], APC MINI,
Generic driver installed, , , <true>,
Has problem, <false>, <false>, <false>,
In root container, <false>, <false>, <false>,
Install date, 4/13/2020 12:35:36 PM, 4/13/2020 12:35:36 PM, 4/13/2020 12:35:35 PM,
Install state, 00000000, 00000000, 00000000,
Is connected, <false>, <false>, <true>,
Is present, <true>, <true>, <true>,
Is reboot required, <false>, <false>, <false>,
Last arrival date, 4/13/2020 12:35:36 PM, 4/13/2020 12:35:36 PM, 4/13/2020 12:35:35 PM,
Last known parent, USB\VID_09E8&PID_0028&MI_00\6&17b6db37&1&0000, USB\VID_09E8&PID_0028&MI_00\6&17b6db37&1&0000, USB\VID_09E8&PID_0028\Ver00.10,
Legacy bus type, 0000000F, 0000000F, 0000000F,
Location information, , , 0000.0014.0000.002.000.000.000.000.000,
Location paths, , , "PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(2)#USBMI(0), PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(2)#USB(2), ACPI(_SB_)#ACPI(PCI0)#ACPI(XHC_)#ACPI(RHUB)#ACPI(HS02)#USBMI(0), ACPI(_SB_)#ACPI(PCI0)#ACPI(XHC_)#ACPI(RHUB)#ACPI(HS02)#USB(2)",
Manufacturer, Microsoft, Microsoft, (Generic USB Audio),
Parent, USB\VID_09E8&PID_0028&MI_00\6&17b6db37&1&0000, USB\VID_09E8&PID_0028&MI_00\6&17b6db37&1&0000, USB\VID_09E8&PID_0028\Ver00.10,
Physical Device Object name, \Device\000015d6, \Device\000015d7, \Device\000015d4,
Power data - current power state, D0, D0, D3,
Power data - power capabilities, "00000009, PDCAP_D0_SUPPORTED, PDCAP_D3_SUPPORTED", "00000009, PDCAP_D0_SUPPORTED, PDCAP_D3_SUPPORTED", TODO,
Power data - power state mappings, "S0 -> D0, S1 -> D3, S2 -> D3, S3 -> D3, S4 -> D3, S5 -> D3", "S0 -> D0, S1 -> D3, S2 -> D3, S3 -> D3, S4 -> D3, S5 -> D3", TODO,
Removal policy, 00000003, 00000003, 00000003,
Removal policy default, 00000003, 00000003, 00000003,
Reported device Ids hash, 42A623E8, 42A623E8, 0BC22013,
Safe removal required, <false>, <false>, <false>,
Siblings, SWD\MMDEVAPI\MIDII_BFF11DE1.P_0001, SWD\MMDEVAPI\MIDII_BFF11DE1.P_0000,,
{3464f7a4-2444-40b1-980a-e0903cb6d912}[10], 00000003, 00000003, 00000003,
{80497100-8c73-48d9-aad9-ce387e19c56e}[6], 00000000, 00000000, 00000000,
{a8b865dd-2e3d-4094-ad97-e593a70c75d6}[26], <false>, <false>, <false>,
{b3f8fa53-0004-438e-9003-51a46e139bfc}[7], , , 00000000,
{d1885396-39d8-4777-bcff-5e3241483416}[0], , , 00000002,
Class description, SoftwareDevice, SoftwareDevice, MEDIA,
Class icon path, "%SystemRoot%\System32\ddores.dll,-2001", "%SystemRoot%\System32\ddores.dll,-2001", "%SystemRoot%\system32\mmsys.cpl,-3004",
Class name, Software devices, Software devices, "Sound, video and game controllers",
Class upper filters, , , ksthunk,
Display name, Software devices, Software devices, "Sound, video and game controllers",
No install class, <true>, <true>,,
Silent install class, <true>, <true>,,
{259abffc-50a7-47ce-af08-68c9a7d73366}[13], , , 5.1,
{259abffc-50a7-47ce-af08-68c9a7d73366}[14], 10/18/2019 12:06:35 AM, 10/18/2019 12:06:35 AM, 4/2/2020 6:30:55 PM,
